ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
4,Auckland,ASB Classic,2019-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Norrie C.,Fritz T.,93.0,50.0,616.0,933.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.8,2.0,,,,,1.81,2.15,,,1.95,2.15,1.82,2.01
4,Auckland,ASB Classic,2019-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Struff J.L.,Carreno Busta P.,58.0,24.0,855.0,1705.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.8,2.0,,,,,1.87,2.06,,,1.88,2.1,1.8,2.02
4,Auckland,ASB Classic,2019-01-11,ATP250,Outdoor,Hard,Semifinals,3,Sandgren T.,Kohlschreiber P.,63.0,34.0,814.0,1125.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,3.0,1.4,,,,,3.02,1.45,,,3.1,1.47,2.9,1.42
4,Auckland,ASB Classic,2019-01-11,ATP250,Outdoor,Hard,Semifinals,3,Norrie C.,Struff J.L.,93.0,58.0,616.0,855.0,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.61,2.3,,,,,1.69,2.32,,,1.71,2.38,1.64,2.27
4,Auckland,ASB Classic,2019-01-12,ATP250,Outdoor,Hard,The Final,3,Sandgren T.,Norrie C.,63.0,93.0,814.0,616.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.2,1.66,,,,,2.3,1.71,,,2.35,1.8,2.18,1.7
5,Sydney,Sydney International,2019-01-06,ATP250,Outdoor,Hard,1st Round,3,Klizan M.,Popyrin A.,40.0,149.0,1050.0,367.0,7.0,6.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.61,2.2,,,,,1.72,2.22,,,1.77,2.45,1.68,2.18
5,Sydney,Sydney International,2019-01-06,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Mannarino A.,72.0,41.0,715.0,1045.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,,,,,1.65,2.37,,,1.71,2.4,1.63,2.28
5,Sydney,Sydney International,2019-01-07,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Jaziri M.,48.0,42.0,955.0,1042.0,6.0,1.0,4.0,1.0,,,,,,,1.0,0.0,Retired,1.33,3.25,,,,,1.35,3.44,,,1.45,3.46,1.36,3.16
5,Sydney,Sydney International,2019-01-07,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Ramos-Vinolas A.,102.0,65.0,561.0,790.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.25,,,,,1.58,2.52,,,1.63,2.52,1.59,2.36
5,Sydney,Sydney International,2019-01-07,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Lajovic D.,29.0,45.0,1253.0,1010.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.5,,,,,1.31,3.76,,,1.33,3.85,1.29,3.59
5,Sydney,Sydney International,2019-01-07,ATP250,Outdoor,Hard,1st Round,3,Andreozzi G.,Ebden M.,80.0,47.0,682.0,981.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,,,,,,,4.6,1.25,4.2,1.22
5,Sydney,Sydney International,2019-01-07,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Harrison R.,75.0,81.0,701.0,660.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.66,2.1,,,,,1.79,2.12,,,1.89,2.25,1.72,2.13
5,Sydney,Sydney International,2019-01-08,ATP250,Outdoor,Hard,1st Round,3,Seppi A.,Chardy J.,37.0,36.0,1100.0,1120.0,7.0,5.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.37,1.53,,,,,2.51,1.58,,,2.55,1.61,2.43,1.56
5,Sydney,Sydney International,2019-01-08,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Kudla D.,101.0,62.0,565.0,818.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.66,,,,,2.11,1.8,,,2.17,1.83,2.07,1.76
5,Sydney,Sydney International,2019-01-08,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Pouille L.,84.0,30.0,655.0,1245.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.25,,,,,1.55,2.61,,,1.6,2.65,1.53,2.5
5,Sydney,Sydney International,2019-01-08,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Tiafoe F.,38.0,39.0,1083.0,1080.0,4.0,6.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.53,2.37,,,,,1.67,2.33,,,1.72,2.45,1.61,2.33
5,Sydney,Sydney International,2019-01-08,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Duckworth J.,35.0,238.0,1122.0,206.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.25,,,,,1.39,3.25,,,1.4,3.3,1.36,3.15
5,Sydney,Sydney International,2019-01-08,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Daniel T.,72.0,78.0,715.0,691.0,3.0,6.0,7.0,6.0,6.0,0.0,,,,,2.0,1.0,Completed,1.5,2.5,,,,,1.49,2.84,,,1.54,3.2,1.47,2.69
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Rublev A.,75.0,84.0,701.0,655.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.37,1.53,,,,,2.48,1.61,,,2.51,1.63,2.4,1.57
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Opelka R.,29.0,102.0,1253.0,561.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.3,3.4,,,,,1.37,3.4,,,1.33,6.25,1.17,5.39
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,Schwartzman D.,Garcia-Lopez G.,19.0,101.0,1880.0,565.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.53,2.37,,,,,1.58,2.54,,,1.67,2.55,1.58,2.4
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,Seppi A.,Klizan M.,37.0,40.0,1100.0,1050.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.72,2.0,,,,,1.96,1.94,,,2.06,2.15,1.81,2.0
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Andreozzi G.,15.0,80.0,2095.0,682.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.12,6.0,,,,,1.15,6.35,,,1.18,6.35,1.14,5.64
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Fucsovics M.,38.0,35.0,1083.0,1122.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.66,,,,,2.12,1.81,,,2.2,1.9,2.07,1.76
5,Sydney,Sydney International,2019-01-09,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Querrey S.,31.0,48.0,1210.0,955.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.83,1.83,,,,,1.99,1.92,,,2.05,1.95,1.93,1.88
5,Sydney,Sydney International,2019-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Seppi A.,Tsitsipas S.,37.0,15.0,1100.0,2095.0,4.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,3.5,1.3,,,,,3.7,1.34,,,3.9,1.35,3.49,1.31
5,Sydney,Sydney International,2019-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Schwartzman D.,Nishioka Y.,19.0,75.0,1880.0,701.0,6.0,1.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.1,,,,,1.78,2.19,,,1.8,2.2,1.74,2.11
5,Sydney,Sydney International,2019-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,De Minaur A.,Thompson J.,29.0,72.0,1253.0,715.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.75,,,,,1.32,3.79,,,1.33,3.8,1.29,3.6
5,Sydney,Sydney International,2019-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Simon G.,Millman J.,31.0,38.0,1210.0,1083.0,7.0,5.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.8,2.0,,,,,1.83,2.11,,,1.87,2.17,1.8,2.02
5,Sydney,Sydney International,2019-01-11,ATP250,Outdoor,Hard,Semifinals,3,Seppi A.,Schwartzman D.,37.0,19.0,1100.0,1880.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,,,,,2.61,1.57,,,2.8,1.57,2.63,1.5
5,Sydney,Sydney International,2019-01-12,ATP250,Outdoor,Hard,Semifinals,3,De Minaur A.,Simon G.,29.0,31.0,1253.0,1210.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.4,3.0,,,,,1.44,3.06,,,1.48,3.1,1.42,2.91
5,Sydney,Sydney International,2019-01-12,ATP250,Outdoor,Hard,The Final,3,De Minaur A.,Seppi A.,29.0,37.0,1253.0,1100.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.33,3.4,,,,,1.39,3.35,,,1.4,3.5,1.36,3.22
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Mannarino A.,6.0,42.0,4810.0,1045.0,6.0,3.0,5.0,7.0,6.0,2.0,6.0,1.0,,,3.0,1.0,Completed,1.06,10.0,,,,,1.05,13.28,,,1.08,13.28,1.06,9.96
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Eubanks C.,20.0,170.0,1820.0,312.0,6.0,4.0,4.0,6.0,7.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.2,4.5,,,,,1.24,4.61,,,1.3,4.66,1.23,4.28
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Albot R.,Mmoh M.,98.0,107.0,585.0,526.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,2.1,1.72,,,,,2.19,1.76,,,2.22,1.77,2.14,1.72
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Travaglia S.,Andreozzi G.,137.0,77.0,401.0,708.0,6.0,7.0,6.0,2.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.4,3.0,,,,,1.45,2.97,,,1.5,3.02,1.44,2.82
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Kecmanovic M.,28.0,125.0,1410.0,458.0,7.0,6.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.5,2.62,,,,,1.5,2.81,,,1.5,2.9,1.47,2.72
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cuevas P.,Lajovic D.,94.0,46.0,616.0,1010.0,6.0,4.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,3.2,1.36,,,,,3.51,1.35,,,3.51,1.76,3.11,1.38
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Garcia-Lopez G.,58.0,100.0,860.0,582.0,7.0,5.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,Completed,2.1,1.72,,,,,2.16,1.78,,,2.16,1.85,2.08,1.76
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Berrettini M.,15.0,54.0,2095.0,920.0,6.0,7.0,6.0,4.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,1.36,3.2,,,,,1.43,3.05,,,1.45,3.5,1.4,3.0
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Tipsarevic J.,21.0,,1790.0,,4.0,6.0,6.0,3.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,1.06,10.0,,,,,1.08,10.26,,,1.08,13.0,1.06,9.97
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Gunneswaran P.,39.0,109.0,1080.0,515.0,7.0,6.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.28,3.75,,,,,1.31,3.84,,,1.36,3.85,1.3,3.61
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Duckworth J.,2.0,237.0,7480.0,206.0,6.0,4.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,Completed,1.05,11.0,,,,,1.05,14.44,,,1.06,15.45,1.04,11.64
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fabbiano T.,Kubler J.,102.0,130.0,573.0,433.0,6.0,4.0,7.0,6.0,2.0,6.0,6.0,3.0,,,3.0,1.0,Completed,2.0,1.8,,,,,2.12,1.81,,,2.12,1.9,2.04,1.79
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Isner J.,97.0,10.0,593.0,3155.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,,,3.0,1.0,Completed,2.62,1.5,,,,,2.79,1.5,,,2.96,1.5,2.75,1.46
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Molleker R.,16.0,206.0,1925.0,246.0,6.0,1.0,6.0,3.0,4.0,6.0,6.0,0.0,,,3.0,1.0,Completed,1.11,6.5,,,,,1.14,6.72,,,1.17,7.0,1.13,6.2
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Ito T.,189.0,150.0,266.0,360.0,7.0,5.0,6.0,1.0,7.0,6.0,,,,,3.0,0.0,Completed,1.36,3.2,,,,,1.34,3.58,,,1.36,3.6,1.33,3.38
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Polmans M.,62.0,169.0,818.0,317.0,5.0,7.0,1.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.28,3.75,,,,,1.28,4.14,,,1.33,4.15,1.27,3.84
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Gojowczyk P.,11.0,63.0,2835.0,805.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,3.0,,,3.0,1.0,Completed,1.11,6.5,,,,,1.1,8.73,,,1.13,8.73,1.1,7.07
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Sousa P.,29.0,103.0,1353.0,550.0,6.0,4.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.04,13.0,,,,,1.05,13.93,,,1.07,13.93,1.05,11.2
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Carballes Baena R.,200.0,75.0,252.0,714.0,6.0,1.0,1.0,6.0,2.0,6.0,6.0,1.0,6.0,4.0,3.0,2.0,Completed,1.3,3.5,,,,,1.37,3.41,,,1.4,3.6,1.34,3.32
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Rublev A.,81.0,87.0,692.0,655.0,6.0,4.0,6.0,4.0,2.0,6.0,6.0,4.0,,,3.0,1.0,Completed,3.4,1.33,,,,,3.7,1.33,,,3.75,1.45,3.46,1.32
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Laaksonen H.,Basic M.,166.0,99.0,319.0,585.0,6.0,4.0,7.0,6.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.72,2.1,,,,,1.89,2.02,,,1.91,2.15,1.81,2.01
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Edmund K.,57.0,14.0,865.0,2150.0,6.0,3.0,6.0,0.0,7.0,5.0,,,,,3.0,0.0,Completed,1.44,2.75,,,,,1.42,3.12,,,1.47,3.12,1.42,2.89
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Lopez F.,72.0,66.0,740.0,770.0,6.0,1.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,1.33,3.4,,,,,1.33,3.68,,,1.36,3.72,1.31,3.49
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Struff J.L.,48.0,51.0,981.0,945.0,1.0,6.0,6.0,4.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,2.3,1.61,,,,,2.43,1.63,,,2.5,1.66,2.37,1.6
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Johnson S.,35.0,34.0,1170.0,1190.0,6.0,4.0,4.0,6.0,6.0,4.0,6.0,3.0,,,3.0,1.0,Completed,1.8,2.0,,,,,1.89,2.02,,,1.9,2.05,1.84,1.98
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Dzumhur D.,33.0,47.0,1195.0,985.0,6.0,0.0,6.0,4.0,6.0,0.0,,,,,3.0,0.0,Completed,1.53,2.5,,,,,1.56,2.62,,,1.58,2.62,1.54,2.52
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Sandgren T.,69.0,41.0,758.0,1058.0,6.0,4.0,7.0,6.0,4.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.72,2.1,,,,,1.83,2.1,,,1.87,2.18,1.77,2.07
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Delbonis F.,37.0,80.0,1108.0,696.0,6.0,3.0,3.0,6.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.25,4.0,,,,,1.27,4.26,,,1.27,4.35,1.24,4.12
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Norrie C.,50.0,68.0,964.0,760.0,6.0,3.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,2.0,1.8,,,,,2.05,1.86,,,2.09,1.91,2.0,1.82
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Murray A.,24.0,229.0,1605.0,220.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.2,4.5,,,,,1.26,4.3,,,1.26,5.0,1.21,4.55
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Tomic B.,7.0,88.0,4160.0,655.0,6.0,2.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.25,4.0,,,,,1.27,4.17,,,1.3,4.34,1.25,4.0
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Istomin D.,3.0,101.0,6420.0,577.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.03,15.0,,,,,1.03,17.37,,,1.04,19.5,1.02,14.98
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Munar J.,13.0,79.0,2315.0,702.0,7.0,6.0,7.0,6.0,3.0,1.0,,,,,2.0,0.0,Retired,1.44,2.75,,,,,1.47,2.89,,,1.49,2.9,1.45,2.79
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Ivashka I.,Jaziri M.,84.0,43.0,658.0,1042.0,4.0,6.0,7.0,6.0,6.0,1.0,4.0,0.0,,,2.0,1.0,Retired,1.44,2.75,,,,,1.41,3.15,,,1.48,3.15,1.42,2.88
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Jarry N.,53.0,45.0,920.0,1015.0,7.0,6.0,7.0,6.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.8,2.0,,,,,1.89,2.01,,,1.89,2.17,1.81,2.02
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Majchrzak K.,9.0,176.0,3750.0,291.0,3.0,6.0,6.0,7.0,6.0,0.0,6.0,2.0,3.0,0.0,2.0,2.0,Retired,1.02,17.0,,,,,1.03,18.24,,,1.03,21.25,1.02,15.25
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Querrey S.,55.0,49.0,903.0,975.0,5.0,7.0,7.0,6.0,6.0,3.0,6.0,1.0,,,3.0,1.0,Completed,2.62,1.5,,,,,2.8,1.5,,,2.8,1.53,2.69,1.48
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Ramos-Vinolas A.,38.0,64.0,1094.0,790.0,6.0,3.0,6.0,4.0,6.0,7.0,6.0,3.0,,,3.0,1.0,Completed,1.2,4.5,,,,,1.2,5.3,,,1.24,5.3,1.2,4.66
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Vesely J.,83.0,90.0,660.0,633.0,6.0,0.0,7.0,5.0,6.0,3.0,,,,,3.0,0.0,Completed,1.61,2.3,,,,,1.62,2.46,,,1.63,2.56,1.59,2.38
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Harris L.,19.0,119.0,1865.0,472.0,6.0,1.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.16,5.0,,,,,1.2,5.24,,,1.2,5.6,1.17,5.11
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Hurkacz H.,73.0,76.0,739.0,708.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.8,2.0,,,,,1.74,2.22,,,1.87,2.22,1.79,2.05
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Coric B.,Darcis S.,12.0,321.0,2435.0,90.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.14,5.5,,,,,1.2,5.22,,,1.2,6.0,1.16,5.37
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Chung H.,Klahn B.,25.0,78.0,1585.0,704.0,6.0,7.0,6.0,7.0,6.0,3.0,6.0,2.0,6.0,4.0,3.0,2.0,Completed,1.44,2.75,,,,,1.58,2.54,,,1.59,2.75,1.52,2.54
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Bolt A.,Sock J.,155.0,105.0,343.0,540.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,3.2,1.36,,,,,3.23,1.4,,,3.36,1.4,3.17,1.36
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Pella G.,44.0,65.0,1017.0,790.0,7.0,6.0,4.0,6.0,7.0,6.0,4.0,6.0,6.0,2.0,3.0,2.0,Completed,1.72,2.1,,,,,1.81,2.12,,,1.93,2.3,1.77,2.07
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Vanni L.,23.0,163.0,1705.0,325.0,6.0,7.0,2.0,6.0,6.0,3.0,7.0,5.0,6.0,4.0,3.0,2.0,Completed,1.28,3.75,,,,,1.3,3.9,,,1.3,4.2,1.28,3.74
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Djere L.,96.0,92.0,599.0,627.0,6.0,7.0,6.0,4.0,6.0,1.0,7.0,6.0,,,3.0,1.0,Completed,2.1,1.72,,,,,2.02,1.89,,,2.13,2.2,2.0,1.83
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Fratangelo B.,30.0,133.0,1280.0,421.0,7.0,6.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.28,3.75,,,,,1.25,4.43,,,1.28,4.57,1.24,4.08
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Bedene A.,4.0,67.0,6385.0,760.0,6.0,4.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,Completed,1.1,7.0,,,,,1.13,7.0,,,1.13,7.6,1.11,6.62
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Garin C.,22.0,89.0,1785.0,650.0,6.0,0.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.14,5.5,,,,,1.21,5.14,,,1.22,5.95,1.17,5.19
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Andujar P.,27.0,85.0,1440.0,658.0,6.0,2.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.11,6.5,,,,,1.11,7.93,,,1.14,7.93,1.11,6.89
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Daniel T.,Kokkinakis T.,82.0,144.0,691.0,379.0,5.0,7.0,4.0,2.0,,,,,,,0.0,1.0,Retired,4.0,1.25,,,,,3.87,1.3,,,4.1,1.31,3.8,1.28
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Pouille L.,Kukushkin M.,31.0,56.0,1245.0,890.0,6.0,1.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.57,2.37,,,,,1.64,2.42,,,1.65,2.7,1.6,2.37
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Copil M.,Granollers M.,60.0,108.0,823.0,525.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.57,2.37,,,,,1.65,2.4,,,1.67,2.41,1.62,2.33
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Li Z.,32.0,261.0,1215.0,173.0,6.0,2.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.03,15.0,,,,,1.05,13.48,,,1.08,17.0,1.04,11.78
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Klizan M.,177.0,40.0,290.0,1063.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.28,3.75,,,,,1.32,3.72,,,1.32,3.76,1.3,3.64
